construct,within_method_id,concentration,measure,response,method,nucleotide,experimenter,unique_experiment_id
W311*-GFP+SUR,1,0,fluorescence,0.9887029336880375,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,2,0,fluorescence,1,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-7,fluorescence,1.0071112128857433,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,0.9718165077754339,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-6,fluorescence,0.9500595778626602,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,1.0305756928900003,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-5,fluorescence,0.8645748053658081,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,1.026926018951361,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-4,fluorescence,0.5049580953233775,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,0.9653677650728726,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0.001,fluorescence,0.020083497394503436,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,3,0,fluorescence,1,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-7,fluorescence,0.9426086848219295,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0,fluorescence,1.0011313915575963,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-6,fluorescence,0.9741463864408493,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0,fluorescence,1.0159684045769721,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-5,fluorescence,0.9028447558340976,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0,fluorescence,0.983296445998013,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-4,fluorescence,0.64442708118053,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0,fluorescence,0.9705866763258274,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0.001,fluorescence,0.07550054258042627,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0,fluorescence,1.030760780400243,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,4,0,fluorescence,1,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-7,fluorescence,0.9606459335667431,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0,fluorescence,0.926769110528788,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-6,fluorescence,0.9036173372840514,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0,fluorescence,1.0242554582923624,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-5,fluorescence,0.81036184666719,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0,fluorescence,1.0081893927844474,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-4,fluorescence,0.45971338243252236,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0,fluorescence,1.2097425584241228,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0.001,fluorescence,0.001121390551098389,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0,fluorescence,0.7965478744361226,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,5,0,fluorescence,1,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,1e-7,fluorescence,0.9536869172266889,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0,fluorescence,0.9755854519532384,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,1e-6,fluorescence,0.970300057003453,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0,fluorescence,0.9805956166579144,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,1e-5,fluorescence,0.8538770193758296,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0,fluorescence,1.0604988512185731,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,1e-4,fluorescence,0.49100147165031105,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0,fluorescence,1.0500867259409334,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0.001,fluorescence,0.07119046961669473,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0,fluorescence,0.9248866849980485,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,6,0,fluorescence,1,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,0.001,fluorescence,0.14452979786706555,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,0,fluorescence,0.9433494906165587,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,1e-4,fluorescence,0.4263152394900679,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,0,fluorescence,1.0488217399961723,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,1e-5,fluorescence,0.837060974805108,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,0,fluorescence,1.083745737570657,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,1e-6,fluorescence,0.932848068394377,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,0,fluorescence,0.8872444704871241,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,7,0,fluorescence,1,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,0.001,fluorescence,0.06567998174695866,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,0,fluorescence,1.0333038666941012,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,1e-4,fluorescence,0.37591063817496817,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,0,fluorescence,0.9719315265572143,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,1e-5,fluorescence,0.8246359721058718,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,0,fluorescence,0.8629078912988608,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,1e-6,fluorescence,1.1499324203677015,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,0,fluorescence,1.1344675339738644,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,8,0,fluorescence,1,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,0.001,fluorescence,0.1891068698928451,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,0,fluorescence,0.9583242656632401,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,1e-4,fluorescence,0.4353428723526461,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,0,fluorescence,1.0607053390254852,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,1e-5,fluorescence,0.8993613288844123,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,0,fluorescence,0.9911927896428762,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,1e-6,fluorescence,0.9751169141388993,pcf,TNP-ATP,Sam,174
