kir_construct,anap_present,sur_construct,ha_present,log_counts,control_mean,centered_response
W311*-GFP,TRUE,SUR,FALSE,7.498310553789601,7.303298582300395,0.19501197148920557
W311*-GFP,TRUE,TMD0_232,TRUE,8.401400540781545,7.303298582300395,1.0981019584811493
W311*-GFP,TRUE,TMD0_232,TRUE,8.403120521175818,7.303298582300395,1.0998219388754231
W311*-GFP,TRUE,TMD0_232,TRUE,8.232996110392154,7.303298582300395,0.9296975280917588
W311*-GFP,TRUE,TMD0_195,TRUE,8.294466226161592,7.303298582300395,0.9911676438611972
W311*-GFP,TRUE,TMD0_195,TRUE,8.290034611362518,7.303298582300395,0.986736029062123
W311*-GFP,TRUE,TMD0_195,TRUE,8.4345689040342,7.303298582300395,1.1312703217338038
W311*-GFP,TRUE,TMD0_232,TRUE,8.376576957056512,7.303298582300395,1.073278374756117
W311*-GFP,TRUE,TMD0_232,TRUE,8.4345689040342,7.303298582300395,1.1312703217338038
W311*-GFP,TRUE,TMD0_232,TRUE,8.164352855784436,7.303298582300395,0.861054273484041
W311*-GFP,TRUE,TMD0_195,TRUE,8.41664050733828,7.303298582300395,1.1133419250378855
W311*-GFP,TRUE,TMD0_195,TRUE,8.4048337166199385,7.303298582300395,1.1015351343195432
W311*-GFP,TRUE,TMD0_195,TRUE,8.403120521175818,7.303298582300395,1.0998219388754231
W311*-GFP,TRUE,TMD0_232,TRUE,8.238046103128795,7.303298582300395,0.9347475208283997
W311*-GFP,TRUE,TMD0_232,TRUE,8.30319605742049,7.303298582300395,0.9998974751200942
W311*-GFP,TRUE,TMD0_232,TRUE,8.247973266361807,7.303298582300395,0.944674684061412
W311*-GFP,TRUE,TMD0_195,TRUE,8.32633586092875,7.303298582300395,1.0230372786283555
W311*-GFP,TRUE,TMD0_195,TRUE,8.301029995663981,7.303298582300395,0.997731413363586
W311*-GFP,TRUE,TMD0_195,TRUE,8.222716471147583,7.303298582300395,0.919417888847188
W311*-GFP,TRUE,None,TRUE,8.089905111439398,7.303298582300395,0.7866065291390028
W311*-GFP,TRUE,None,TRUE,8.181843587944773,7.303298582300395,0.8785450056443773
W311*-GFP,TRUE,None,TRUE,8.209515014542632,7.303298582300395,0.9062164322422364
