n,construct,date,cumulative_exposure,concentration,dye,response,raw_intensity,corrected_intensity,measure,method,unique_experiment_id
1,W311*-GFP+SUR,2018-04-26,0,0,471.7451145510986,1,15.86629244629244,15.86629244629244,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,0,0,507.9542876453923,1,43.24603603603603,43.24603603603603,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,0,0,560.892883758269,1,3.7201524601524665,3.7201524601524665,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,1000,1e-6,471.7451145510986,0.889626283435915,13.411836451836454,14.115070780902476,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,1000,1e-6,507.9542876453923,0.9415452453809151,39.646382536382546,40.71809961130144,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,1000,1e-6,560.892883758269,1.004936121527391,3.626805266805271,3.7385155847962017,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,2000,0,471.7451145510986,0.9846524409997937,14.079341649341647,15.62278358685844,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,2000,0,507.9542876453923,0.9844947042139849,40.33437283437283,42.575493455724626,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,2000,0,560.892883758269,1.0496568610831631,3.6715246015245993,3.904883554074445,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,3000,3e-6,471.7451145510986,0.8149986958716372,11.031018711018719,12.931007652046347,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,3000,3e-6,507.9542876453923,0.8829498998797668,35.16925848925849,38.1840831882148,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,3000,3e-6,560.892883758269,0.9364518439319877,3.1714622314622223,3.4837436310178975,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,4000,0,471.7451145510986,0.9659329651501273,12.348724878724886,15.325774908586324,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,4000,0,507.9542876453923,0.9970097941880788,38.57785862785862,43.11672148773852,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,4000,0,560.892883758269,0.9783291202588058,3.2045460845460827,3.6395334835695947,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,5000,1e-5,471.7451145510986,0.7251993409237083,8.735945945945941,11.50622482495409,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,5000,1e-5,507.9542876453923,0.7582728848049716,28.477442827442832,32.7922965014248,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,5000,1e-5,560.892883758269,1.0185239297678423,3.223000693000707,3.7890643030499964,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,6000,0,471.7451145510986,1.0375590679124245,11.746063756063757,16.462215601801127,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,6000,0,507.9542876453923,1.008644893756624,36.73268884268884,43.61989342296269,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,6000,0,560.892883758269,1.0828543001602915,3.3062162162162054,4.028383088727986,fluorescence,unroofed,15
1,W311*-GFP+SUR,2018-04-26,7000,3e-5,471.7451145510986,0.48870402316650363,5.184081774081771,7.753920951239422,fluorescence,unroofed,15
