n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
8,1E-06,NA,NA,NA,0.534702452263536,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,12
8,3E-06,NA,NA,NA,0.22282597436152,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,12
8,1E-05,NA,NA,NA,0.050158809843926,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,12
8,3E-05,NA,NA,NA,0.024820844962723,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,12
8,0.0001,NA,NA,NA,0.023755530662382,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,12
8,0.0003,NA,NA,NA,0.014467800223394,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,12
1,0,NA,NA,NA,1,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
1,3E-05,NA,NA,NA,1.01653474060236,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
1,0.0001,NA,NA,NA,0.847042854504137,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
1,0.0003,NA,NA,NA,0.707330100492473,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
1,0.001,NA,NA,NA,0.370035033177376,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
1,0.003,NA,NA,NA,0.224414171852839,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
1,0.01,NA,NA,NA,0.106723830203442,WT-GFP,ATP,patch_clamp,current,1.0080230779012,16
2,0,NA,NA,NA,1,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
2,3E-05,NA,NA,NA,0.955800593827031,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
2,0.0001,NA,NA,NA,0.854726069779531,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
2,0.0003,NA,NA,NA,0.632474238929596,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
2,0.001,NA,NA,NA,0.313441867681562,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
2,0.003,NA,NA,NA,0.136410765322974,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
2,0.01,NA,NA,NA,0.074838068762632,WT-GFP,ATP,patch_clamp,current,0.9602194727194,17
1,0,NA,NA,NA,1,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
1,3E-06,NA,NA,NA,0.978159432175123,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
1,1E-05,NA,NA,NA,0.888904793396384,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
