n,construct,date,cumulative_exposure,concentration,dye,response,raw_intensity,corrected_intensity,test_concentration,time,repetition,washout,washon,steady_state,unique_experiment_id
1,W311*-GFP+SUR,2018-06-21,0,0,471.7451145510986,0,215.79331569028426,215.79331569028426,3e-6,0,1,NA,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,0,0,507.9542876453923,0,234.41911463972093,234.41911463972093,3e-6,0,1,NA,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,0,0,560.892883758269,0,49.577172300413004,49.577172300413004,3e-6,0,1,NA,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,100,0,471.7451145510986,0.055611089987404494,199.35131721400214,203.79281419275148,3e-6,3,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,100,0,507.9542876453923,0.059377048983396685,215.16436505072377,220.49999938711375,3e-6,3,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,100,0,560.892883758269,0.05169805699861396,46.03035807369982,47.01412882099615,3e-6,3,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,200,0,471.7451145510986,0.007613182340548086,205.19269417378402,214.15044183006268,3e-6,6,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,200,0,507.9542876453923,0.013860445435774249,220.5644091583464,231.16996129215457,3e-6,6,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,200,0,560.892883758269,0.008497955589153339,47.20314768034003,49.15586769196829,3e-6,6,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,300,0,471.7451145510986,0.03726188417614407,195.2359597417699,207.7524501550468,3e-6,9,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,300,0,507.9542876453923,0.03981845817267515,210.38651509683626,225.08490692856367,3e-6,9,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,300,0,560.892883758269,0.031994226230873446,45.27393239504392,47.9909890339466,3e-6,9,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,400,0,471.7451145510986,0.057804779139670304,187.62755523477287,203.31943073699023,3e-6,12,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,400,0,507.9542876453923,0.060412357760792235,202.04112033361397,220.25730322013794,3e-6,12,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,400,0,560.892883758269,0.06132915472220257,43.1957055214724,46.53664622971168,3e-6,12,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,500,0,471.7451145510986,0.07326979155039404,181.43521392196953,199.98218443168875,3e-6,15,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,500,0,507.9542876453923,0.07031398932599353,196.51397409679618,217.93617151513473,3e-6,15,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,500,0,560.892883758269,0.0721557658480031,42.07029953085527,45.9998934644983,3e-6,15,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,600,0,471.7451145510986,-0.02962842497404461,198.40149163960058,222.18693175411417,3e-6,18,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,600,0,507.9542876453923,-0.033061701092185425,214.98228477485063,242.16940933823415,3e-6,18,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,600,0,560.892883758269,-0.031383512136133884,46.1385981795581,51.133078088978216,3e-6,18,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,700,0,471.7451145510986,-0.09952397610442731,208.74890733389475,237.26992448453925,3e-6,21,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,700,0,507.9542876453923,-0.10361772987343687,226.4272625205501,258.70909113762974,3e-6,21,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,700,0,560.892883758269,-0.09619272061302508,48.43968483098764,54.346135384290434,3e-6,21,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,800,0,471.7451145510986,-0.04443343613115491,195.56448935402386,225.38175420053867,3e-6,24,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,800,0,507.9542876453923,-0.04997236821997553,212.66100886162238,246.1335929542977,3e-6,24,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,800,0,560.892883758269,-0.05510368470440685,46.10675247604152,52.30905717139101,3e-6,24,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,900,0,471.7451145510986,0.021012516340076726,180.96178274990976,211.25895511826283,3e-6,27,1,FALSE,FALSE,TRUE,43
1,W311*-GFP+SUR,2018-06-21,900,0,507.9542876453923,0.016097528075197265,196.96210353261958,230.64554636044514,3e-6,27,1,FALSE,FALSE,TRUE,44
1,W311*-GFP+SUR,2018-06-21,900,0,560.892883758269,0.024794574952001547,42.18576526725211,48.34792738590212,3e-6,27,1,FALSE,FALSE,TRUE,45
1,W311*-GFP+SUR,2018-06-21,1000,0,471.7451145510986,-0.07502434350966602,196.34326556798587,231.98306753372194,3e-6,30,1,FALSE,TRUE,FALSE,43
1,W311*-GFP+SUR,2018-06-21,1000,0,507.9542876453923,-0.07760615746584332,213.4464132483259,252.6114813634547,3e-6,30,1,FALSE,TRUE,FALSE,44
