construct,method,wavelength,raw_spectra,background_corrected_spectra,bleaching_corrected_spectra,normalised_raw_spectra,normalised_background_corrected_spectra,normalised_bleaching_corrected_spectra,gfp_spectra,subtracted_spectra,normalised_subtracted_spectra
W311*-GFP,unroofed,405.2859800188534,10292.108886802078,-94.54787649911498,-94.54787649911498,0.7727577605142542,-0.028851468898306625,-0.028851468898306625,8.985050939379878e-4,-0.029749973992244612,-0.05611947842866547
W311*-GFP,unroofed,405.5990093959878,9927.434124890455,-72.81909382087963,-72.81909382087963,0.7453770501632139,-0.022220888489184066,-0.022220888489184066,-0.0017232506395532796,-0.020497637849630785,-0.03866614288270715
W311*-GFP,unroofed,405.91203677746796,9686.49220910164,-50.072991193107214,-50.072991193107214,0.7272865171823847,-0.015279870913511604,-0.015279870913511604,0.0019721332061910066,-0.01725200411970261,-0.032543674602851326
W311*-GFP,unroofed,406.2250621540447,9523.306241532457,-46.921890307915874,-46.921890307915874,0.7150340989235942,-0.014318306333207409,-0.014318306333207409,-0.004473584591614236,-0.009844721741593173,-0.018570794366327036
W311*-GFP,unroofed,406.53808551646773,9409.891700428017,-33.157355716386405,-33.157355716386405,0.7065186461862057,-0.010118031759395109,-0.010118031759395109,-7.713106351890114e-4,-0.009346721124206097,-0.017631380607101513
W311*-GFP,unroofed,406.85110685548653,9315.660924004242,-21.696900170913864,-21.696900170913864,0.6994435593831374,-0.006620851399837041,-0.006620851399837041,-0.0015372361012722525,-0.005083615298564788,-0.009589582806418969
W311*-GFP,unroofed,407.1641261618502,9226.388239728682,-23.09678617689667,-23.09678617689667,0.6927407387722574,-0.007048029344580894,-0.007048029344580894,-0.0016202356942203531,-0.005427793650360541,-0.010238830755148287
W311*-GFP,unroofed,407.47714342630815,9148.611502987398,-22.976268040071318,-22.976268040071318,0.68690106319504185,-0.007011253000097567,-0.007011253000097567,-0.0011987500658606355,-0.0058125029342369315,-0.010964535065459165
W311*-GFP,unroofed,407.79015863960797,9072.411496830582,-31.41380188671235,-31.41380188671235,0.6811797725677708,-0.009585982908040575,-0.009585982908040575,-0.0025664301928528727,-0.0070195527151877025,-0.013241478371764266
W311*-GFP,unroofed,408.10317179249813,9023.393262203364,-8.784154852262645,-8.784154852262645,0.6774993586087362,-0.0026805019837789507,-0.0026805019837789507,-0.0028869074896408636,2.064055058619129e-4,3.8935729277595415e-4
W311*-GFP,unroofed,408.4161828757263,8950.022724545039,-14.142773632698209,-14.142773632698209,0.6719905116860925,-0.004315694954856049,-0.004315694954856049,-9.617525267410104e-5,-0.004219519702181949,-0.007959578215687128
