wavelength,donor_emission_normalised
400,0.00073687459482
401,0.000765709292503
402,0.00078840428442
403,0.000810002897723
404,0.000845964046528
405,0.000875127657137
406,0.000894423886534
407,0.000919421268935
408,0.000954395672383
409,0.000991562833059
410,0.001014915650828
411,0.001059318895883
412,0.001082452440561
413,0.001131899019346
414,0.001165777050758
415,0.001203053844691
416,0.001258749769076
417,0.00131181439005
418,0.001352928505842
419,0.001434498911572
420,0.00152747162989
421,0.001582838641348
422,0.001700260556049
423,0.001802223563212
424,0.001859892958577
425,0.001995733997153
426,0.002148678507897
427,0.002321028881296
428,0.002418058194564
429,0.002550061917858
430,0.002736445907254
431,0.002886759114588
432,0.003116230703912
433,0.003409511394366
434,0.003528687513533
435,0.003793352779396
436,0.003995743868926
437,0.004246156239122
438,0.004474531449832
439,0.004713102961258
440,0.004859249933806
441,0.005263483920269
442,0.005499972314303
443,0.005770119466657
444,0.005988188736815
445,0.006282127253122
446,0.006477282258272
447,0.006840292489109
448,0.007067242408278
449,0.007288710447535
450,0.007502503849652
451,0.007825934896072
452,0.00798337454795
453,0.008101125375577
454,0.00839561208448
455,0.008538250654674
456,0.00874579471119
457,0.009015174397856
458,0.009146191382371
459,0.00925067605311
460,0.009536062833332
461,0.00972211791638
462,0.009845460263755
463,0.009958825583505
464,0.010187968253324
465,0.010207264482721
466,0.010317450313043
467,0.010699318220515
468,0.010638359689309
469,0.010945125809742
470,0.010799965575973
471,0.01082244128822
472,0.011198279129762
473,0.010946222188356
474,0.011264829174138
475,0.011368217472841
476,0.011359117550739
477,0.011415800207325
478,0.011315591404628
479,0.011406371372296
480,0.011367230734062
481,0.011479390041942
482,0.011170321531024
483,0.011358021172125
484,0.011313179374309
485,0.011194112894976
486,0.01110015343788
487,0.011152450593167
488,0.011158809578602
489,0.010998300070552
490,0.011049500847225
491,0.010831431577066
492,0.010944906536651
493,0.010681447282658
494,0.010413054334771
495,0.010545935157009
496,0.010319752703527
497,0.010271292863521
498,0.010053223593363
499,0.010000268612223
500,0.009688020605298
501,0.00969251575301
502,0.00949593545632
503,0.009338715077533
504,0.00914432753807
505,0.009051135546661
506,0.008835368666987
507,0.00859778389434
508,0.008379166438163
509,0.008314699504602
510,0.008128863701224
511,0.007953114558728
512,0.007810037435773
513,0.007664657922334
514,0.007246609592965
515,0.007313707829937
516,0.006974708242722
517,0.006815404746542
518,0.006623758150325
519,0.006486820733136
520,0.006245508285042
521,0.005977334610246
522,0.005914841154243
523,0.005855198274742
524,0.005551721283572
525,0.005440877627397
526,0.005280039206421
527,0.005111526148303
528,0.004916042236805
529,0.004795002279915
530,0.004753011058601
531,0.004538559830632
532,0.004347351787176
533,0.00426084768755
534,0.004082357601808
535,0.003998484805593
536,0.00382766936357
537,0.003715071502929
538,0.003541624750917
539,0.003482749337103
540,0.003336711997812
541,0.003284305209268
542,0.003165019450266
543,0.003015692981711
544,0.00293291656411
545,0.002810012769496
546,0.002764074593066
547,0.002647420144053
548,0.002505877945895
549,0.00247496013082
550,0.002411808848964
551,0.002256890860661
552,0.002156133871946
553,0.002086404331564
554,0.001993431606668
555,0.0019719426332
556,0.001897937224775
557,0.001829632969355
558,0.001758697417102
559,0.001708373739373
560,0.001630421375832
561,0.001634039418021
562,0.001525498152332
563,0.001481643093294
564,0.001445024125215
565,0.001389437840665
566,0.00133516720782
567,0.001301837362425
568,0.001245373978931
569,0.001198010517539
570,0.00117367096099
571,0.001143410971768
572,0.001123347283261
573,0.001067870631968
574,0.001030374558366
575,0.001012393987252
576,0.000977529217061
577,0.000939156044515
578,0.000912404457647
579,0.000881157729646
580,0.000851555566276
581,0.000833903908089
582,0.000807261961056
583,0.000777330884759
584,0.000755293718695
585,0.000731940900925
586,0.000712425398437
587,0.000689182220502
588,0.000666816141511
589,0.0006391874557
590,0.000628442962387
591,0.000612655141923
592,0.000580312041886
593,0.000572856677837
594,0.000553999007779
595,0.000530097997414
596,0.000511678873539
597,0.000499180182338
598,0.000481857437078
599,0.00045795643329
600,0.000448746871353
